ano,valor_frota
2007,63.159
2008,68.786
2009,73.501
2010,78.867
2011,85.606
2012,93.010
2013,101.375
2014,108.014
2015,111.226
2016,114.829
2017,117.447
2018,120.072
2019,122.438
2020,124.652
2021,125.900
2022,127.274
2023,129.062
2024,132.116
2025,134.121
