ano,valor_frota
2007,116.167
2008,124.850
2009,134.173
2010,143.850
2011,154.714
2012,166.122
2013,177.003
2014,186.387
2015,192.726
2016,197.806
2017,203.175
2018,208.823
2019,214.428
2020,217.183
2021,220.593
2022,223.460
2023,227.665
2024,232.844
2025,237.371
