ano,valor
1990,60.5
1991,
1992,53.1
1993,60.1
1994,
1995,59.5
1996,59.8
1997,59.8
1998,59.6
1999,59.0
2000,
2001,58.4
2002,58.1
2003,57.6
2004,56.6
2005,56.3
2006,55.6
2007,54.9
2008,54.0
2009,53.7
2010,
2011,52.9
2012,53.4
2013,52.7
2014,52.0
2015,51.9
2016,53.4
2017,53.3
2018,53.9
2019,53.5
2020,48.9
2021,52.9
2022,52.0
2023,51.6
